State,Population,Total Offenses
Total,"278,449,430","3,931,869"
Alabama,"4,715,066","78,833"
Alaska,"443,171","7,159"
Arizona,"4,649,268","62,815"
Arkansas,"2,981,249","63,300"
California,"25,009,663","282,970"
Colorado,"5,822,451","71,838"
Connecticut,"3,617,176","30,243"
Delaware,"1,031,890","16,993"
District of Columbia,"678,972","23,914"
Florida,"9,583,627","111,118"
Georgia,"10,098,610","132,910"
Hawaii,"1,270,885","11,049"
Idaho,"1,957,679","18,680"
Illinois,"11,210,798","190,931"
Indiana,"5,854,222","84,386"
Iowa,"2,998,687","34,325"
Kansas,"2,705,648","48,974"
Kentucky,"4,524,497","50,699"
Louisiana,"3,423,421","60,043"
Maine,"1,395,722","13,354"
Maryland,"5,986,435","77,519"
Massachusetts,"6,971,044","75,555"
Michigan,"9,517,887","164,927"
Minnesota,"5,732,979","49,362"
Mississippi,"1,711,605","20,088"
Missouri,"6,100,091","88,795"
Montana,"1,131,954","15,976"
Nebraska,"1,902,679","20,183"
Nevada,"3,181,298","64,727"
New Hampshire,"1,361,616","13,850"
New Jersey,"6,291,305","54,222"
New Mexico,"1,885,968","41,726"
New York,"13,603,665","285,051"
North Carolina,"10,421,456","147,915"
North Dakota,"783,926","12,884"
Ohio,"11,239,743","159,960"
Oklahoma,"4,053,824","68,463"
Oregon,"4,175,772","42,922"
Pennsylvania,"5,502,689","72,843"
Rhode Island,"1,094,548","9,826"
South Carolina,"5,363,912","98,129"
South Dakota,"844,189","13,968"
Tennessee,"7,121,949","148,027"
Texas,"30,161,963","466,350"
Utah,"3,399,787","41,025"
Vermont,"647,464","4,103"
Virginia,"8,715,117","115,370"
Washington,"7,758,180","89,723"
West Virginia,"1,555,284","16,176"
Wisconsin,"5,743,277","50,799"
Wyoming,"515,122","6,871"
