state,imprisonment_rate_2022
Alabama,500
Alaska,270
Arizona,567
Arkansas,743
California,319
Colorado,363
Connecticut,213
Delaware,341
Florida,466
Georgia,565
Hawaii,219
Idaho,603
Illinois,301
Indiana,452
Iowa,340
Kansas,381
Kentucky,561
Louisiana,775
Maine,130
Maryland,322
Massachusetts,116
Michigan,408
Minnesota,195
Mississippi,859
Missouri,489
Montana,522
Nebraska,374
Nevada,411
New Hampshire,182
New Jersey,174
New Mexico,295
New York,199
North Carolina,341
North Dakota,300
Ohio,492
Oklahoma,737
Oregon,367
Pennsylvania,366
Rhode Island,152
South Carolina,383
South Dakota,486
Tennessee,427
Texas,601
Utah,243
Vermont,153
Virginia,397
Washington,220
West Virginia,413
Wisconsin,394
Wyoming,475
