state,total_rep_votes,total_dem_votes,total_votes,pct_rep,pct_dem,political_leaning
Alabama,1451892,811030,2289828,0.6340615976396481,0.3541881748323455,0.2798734228073026
Alaska,374299,293095,715443,0.523170958413179,0.4096692538748719,0.11350170453830705
Arizona,1715964,1627501.5,3388322.5,0.5064346737950711,0.4803266218017913,0.026108051993279813
Arkansas,759944,410418.5,1200872.5,0.6328265490299761,0.3417669236326088,0.29105962539736735
California,6043829,10192971.5,16679221,0.3623567911235183,0.6111179592859882,-0.2487611681624699
Colorado,1371024,1766255.5,3223913,0.4252670590056245,0.5478607828437058,-0.12259372383808126
Connecticut,1452209,2072733,3582709,0.40533825102736504,0.5785379164202283,-0.1731996653928633
Delaware,207477,293013,507853.5,0.4085371076501393,0.5769636322285856,-0.1684265245784463
District of Columbia,39662,611508,670225,0.05917714200455071,0.9123921071282032,-0.8532149651236525
Florida,5889428,4990041.5,10980501.5,0.5363532804034497,0.45444568264937624,0.08190759775407341
Georgia,2562485.5,2510825,5123881.5,0.5001063158857206,0.49002401792469247,0.010082297961028164
Hawaii,195262.5,339587,545585,0.3578956532895882,0.6224273028034129,-0.26453164951382463
Idaho,579682,280996.5,886458.5,0.6539302178274561,0.31698776648878657,0.3369424513386695
Illinois,2447985,3267389,5815609,0.4209335600106541,0.5618309277669802,-0.1408973677563261
Indiana,1725099.5,1203049,2983449,0.578223224194548,0.40324101400761336,0.1749822101869346
Iowa,912345.5,733169.5,1673860,0.545054843296333,0.4380112434731698,0.10704359982316325
Kansas,758451,551761,1338579,0.5666090682731464,0.4121990558644652,0.15441001240868119
Kentucky,1332070,738258.5,2105038.5,0.6328007777529959,0.3507102126635689,0.28209056508942704
Louisiana,1232140.5,811452,2077518.5,0.5930828052794717,0.3905871355658205,0.20249566971365118
Maine,368938,433062.5,822557.5,0.4485254830209438,0.526482951039897,-0.07795746801895315
Maryland,1005982,1943800,3026340,0.3324087842079872,0.642293992082846,-0.3098852078748588
Massachusetts,1209255,2254373.5,3542419.5,0.34136414391350317,0.6363937133927814,-0.2950295694792782
Michigan,2733244,2770286.5,5600903,0.48800059561824227,0.494614261307507,-0.006613665689264747
Minnesota,1501548.5,1687028,3259043.5,0.46073288067495877,0.517645131155813,-0.05691225048085424
Mississippi,752254,503033,1271593,0.5915839423463325,0.39559277221563816,0.19599117013069434
Missouri,1735361,1226806.5,3009779,0.5765742268784518,0.40760683757844013,0.1689673893000117
Montana,347840.5,238346,604356.5,0.5755551566004502,0.3943798072826221,0.18117534931782808
Nebraska,560831,372289,951769,0.5892511733414305,0.3911547865080708,0.19809638683335973
Nevada,710547.5,704341.5,1445108,0.49169162443222236,0.4873971357158081,0.0042944887164142465
New Hampshire,380616,421708.5,813291.5,0.46799456283509666,0.5185207271931405,-0.0505261643580438
New Jersey,1925744.5,2414524,4418479.5,0.4358387314007002,0.5464603830344805,-0.11062165163378035
New Mexico,412642.5,490208,923684,0.44673557190554347,0.530709636628977,-0.0839740647234335
New York,3414564.5,4931600.5,8407149.5,0.40615008689925164,0.5865960275834277,-0.18044594068417602
North Carolina,2828598,2699833.5,5602224,0.5049062657972977,0.4819217332259474,0.022984532571350302
North Dakota,241050,113614.5,363439,0.6632474775684503,0.3126095438299137,0.3506379337385366
Ohio,3167475,2606432,5843609.5,0.5420408396556957,0.4460311730275611,0.0960096666281346
Oklahoma,1028246.5,501744.5,1563436,0.6576837811077652,0.32092423354713595,0.3367595475606292
Oregon,934575,1284396.5,2290956.5,0.4079409626503166,0.5606376637880292,-0.15269670113771255
Pennsylvania,3460785.5,3441482.5,6979730.5,0.49583368584216825,0.49306810628290015,0.0027655795592680943
Rhode Island,207121.5,295683,513521,0.40333598820690875,0.5757953423521142,-0.1724593541452054
South Carolina,1434425,1059996.5,2530734.5,0.5668018513992676,0.4188493498626584,0.14795250153660922
South Dakota,266562,148665,425765.5,0.6260770306659417,0.34917108126421703,0.27690594940172464
Tennessee,1909670,1099988,3058896.5,0.6243002991438252,0.35960288293507153,0.2646974162087537
Texas,6141972,5047188,11349008,0.5411902079899846,0.4447250367609222,0.09646517122906245
Utah,874479,561424,1488120,0.5876401096685752,0.3772706502163804,0.21036945945219476
Vermont,116049.5,239305.5,366908.5,0.31629002871288076,0.6522211941124286,-0.33593116539954787
Virginia,2018757.5,2374481.5,4471550,0.4514670528116649,0.5310197806129866,-0.07955272780132172
Washington,1557787,2307730.5,3993233,0.3901067130317715,0.5779103047580745,-0.18780359172630295
West Virginia,539469,225146.5,778521,0.692940845526325,0.2891977223478879,0.4037431231784371
Wisconsin,1653845.5,1649451,3356282.5,0.49276111292777053,0.49145177737571255,0.0013093355520579775
Wyoming,193096,71509,271559,0.7110646305222806,0.26332767464897133,0.4477369558733093
